n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
200,7,0.01,0.8,1.0,0.0,3.0,0.6179045587778091,0.6659395339296357,UP,0.5449360609054565,0.45506393909454346
100,5,0.03,0.6,1.0,0.0,3.0,0.6179167777299881,0.6533351902577683,DOWN,0.4691896438598633,0.5308103561401367
300,5,0.01,0.6,0.7,0.0,1.0,0.6179745197296143,0.6587607667120675,UP,0.5671795010566711,0.43282049894332886
200,7,0.03,1.0,1.0,0.5,3.0,0.6181910932064056,0.6646223375809533,DOWN,0.4606970548629761,0.5393029451370239
300,7,0.03,1.0,1.0,0.5,3.0,0.6181910932064056,0.6646223375809533,DOWN,0.4606970548629761,0.5393029451370239
200,5,0.03,0.6,1.0,0.0,1.0,0.6182256639003754,0.6543989000141688,DOWN,0.4910268783569336,0.5089731216430664
300,5,0.03,0.6,1.0,0.0,1.0,0.6182256639003754,0.6543989000141688,DOWN,0.4910268783569336,0.5089731216430664
100,5,0.03,0.6,1.0,0.0,1.0,0.6182256639003754,0.6543989000141688,DOWN,0.4910268783569336,0.5089731216430664
200,5,0.05,0.6,1.0,0.5,1.0,0.6182321161031723,0.650671824659216,DOWN,0.4705911874771118,0.5294088125228882
300,5,0.05,0.6,1.0,0.5,1.0,0.6182321161031723,0.650671824659216,DOWN,0.4705911874771118,0.5294088125228882
100,5,0.05,0.6,1.0,0.5,1.0,0.6182321161031723,0.650671824659216,DOWN,0.4705911874771118,0.5294088125228882
100,5,0.05,0.6,0.7,0.0,1.0,0.6184141784906387,0.6512748160660395,UP,0.5961062908172607,0.40389370918273926
300,5,0.05,0.6,0.7,0.0,1.0,0.6184141784906387,0.6512748160660395,UP,0.5961062908172607,0.40389370918273926
200,5,0.05,0.6,0.7,0.0,1.0,0.6184141784906387,0.6512748160660395,UP,0.5961062908172607,0.40389370918273926
300,5,0.01,0.6,1.0,0.5,1.0,0.618585541844368,0.6487135644838256,UP,0.5491020679473877,0.4508979320526123
200,7,0.05,1.0,0.7,0.0,1.0,0.6186864525079727,0.6555182291587788,DOWN,0.37047767639160156,0.6295223236083984
300,7,0.05,1.0,0.7,0.0,1.0,0.6186864525079727,0.6555182291587788,DOWN,0.37047767639160156,0.6295223236083984
100,7,0.05,1.0,0.7,0.5,1.0,0.6187716424465179,0.6654190608118773,DOWN,0.44133487343788147,0.5586651563644409
200,7,0.05,0.6,0.7,0.5,1.0,0.6190250515937805,0.6513459462843169,DOWN,0.45516836643218994,0.5448316335678101
300,7,0.05,0.6,0.7,0.5,1.0,0.6190250515937805,0.6513459462843169,DOWN,0.45516836643218994,0.5448316335678101
100,7,0.05,0.6,0.7,0.5,1.0,0.6190250515937805,0.6513459462843169,DOWN,0.45516836643218994,0.5448316335678101
300,5,0.05,0.8,0.7,0.5,1.0,0.6190392971038818,0.6431653611823198,UP,0.5795743465423584,0.4204256534576416
100,5,0.05,0.8,0.7,0.5,1.0,0.6190392971038818,0.6431653611823198,UP,0.5795743465423584,0.4204256534576416
200,5,0.05,0.8,0.7,0.5,1.0,0.6190392971038818,0.6431653611823198,UP,0.5795743465423584,0.4204256534576416
300,5,0.05,0.8,0.7,0.0,3.0,0.6190701574087143,0.6504256033784414,UP,0.6535527110099792,0.34644728899002075
100,5,0.05,0.8,0.7,0.0,3.0,0.6190701574087143,0.6504256033784414,UP,0.6535527110099792,0.34644728899002075
200,5,0.05,0.8,0.7,0.0,3.0,0.6190701574087143,0.6504256033784414,UP,0.6535527110099792,0.34644728899002075
300,7,0.01,1.0,0.7,0.5,1.0,0.6191015988588333,0.6547513706912538,DOWN,0.347038209438324,0.652961790561676
200,5,0.03,0.6,0.7,0.0,3.0,0.6192050874233246,0.6416564817684853,UP,0.5690303444862366,0.4309696555137634
300,5,0.03,0.6,0.7,0.0,3.0,0.6192050874233246,0.6416564817684853,UP,0.5690303444862366,0.4309696555137634
200,5,0.05,0.6,1.0,0.0,3.0,0.619206964969635,0.6370317008216239,UP,0.5163211822509766,0.48367881774902344
300,5,0.05,0.6,1.0,0.0,3.0,0.619206964969635,0.6370317008216239,UP,0.5163211822509766,0.48367881774902344
100,5,0.05,0.6,1.0,0.0,3.0,0.619206964969635,0.6370317008216239,UP,0.5163211822509766,0.48367881774902344
300,7,0.01,1.0,0.7,0.0,1.0,0.6192126721143723,0.65982956681411,DOWN,0.41252782940864563,0.5874722003936768
200,5,0.03,0.6,0.7,0.5,1.0,0.6192356050014496,0.6455030035563427,DOWN,0.4971782863140106,0.502821683883667
300,5,0.03,0.6,0.7,0.5,1.0,0.6192356050014496,0.6455030035563427,DOWN,0.4971782863140106,0.502821683883667
100,5,0.03,0.6,0.7,0.5,1.0,0.6192356050014496,0.6455030035563427,DOWN,0.4971782863140106,0.502821683883667
100,7,0.03,1.0,0.7,0.0,1.0,0.6196239292621613,0.6493711319683466,DOWN,0.49508771300315857,0.504912257194519
200,5,0.01,0.6,1.0,0.0,1.0,0.6196758300065994,0.6598903648928032,UP,0.5724684000015259,0.4275315999984741
100,5,0.03,0.8,1.0,0.5,1.0,0.619762971997261,0.6576455098439713,UP,0.5802091956138611,0.4197908043861389
300,5,0.03,0.8,1.0,0.5,1.0,0.619762971997261,0.6576455098439713,UP,0.5802091956138611,0.4197908043861389
200,5,0.03,0.8,1.0,0.5,1.0,0.619762971997261,0.6576455098439713,UP,0.5802091956138611,0.4197908043861389
